MacroPlot Name,Date,Index,Transect,SampLoc,OffSet,LittDep,DuffDep,FuelbedDep,DLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
DENA-A274-F12,7/22/2016 3:48:31 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-C-02RL,7/23/2009 1:31:23 AM,,,,,,,,,,,,,0,J Mitchell; R Wilson; M Llanes; C Campanelli; H Bradshaw,J OConnor,,,,,True,
DENA-HZF-C-02RL,7/14/2021 5:59:28 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-C-16,7/25/2009 5:42:25 PM,,,,,,,,,,,,,0,J Mitchell; M Llanes; C Campanelli; H Bradshaw; R Wilson; B McCreary,J OConnor,,,,,True,
DENA-HZF-C-16,8/11/2021 3:26:33 PM,,,,,,,,,,,,,0,J Barnes,J OConnor,,,,,True,
A391-90-50,7/27/2011 3:45:05 PM,,,,,,,,,,,,,1,,,,,,,True,
DENA-TLS-35,7/11/2022 11:28:43 AM,,,,,,,,,,,,,0,,,,,,,True,
A391-90-47,7/27/2011 10:16:46 AM,,,,,,,,,,,,,0,,,,,,,True,
DENA-TLS-19,8/4/2022 5:05:10 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-TLS-31,6/27/2022 1:48:28 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HQ-TX-14,6/22/2021 3:05:05 PM,,,,,,,,,,,,,0,J Hrobak; M Neuser,J O'Connor,,,,,True,
DENA-HQ-TX-14,6/28/2023 1:00:58 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-08,6/12/2003 5:28:06 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-08,6/14/2005 2:31:36 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-08,7/21/2009 4:02:29 PM,,,,,,,,,,,,,0,J Mitchell; C Campanelli; R Wilson; M Llanes; B McCreary; C Reynar,J OConnor,,,,,True,
DENA-HZF-Z3-08,8/12/2021 7:22:50 PM,,,,,,,,,,,,,0,J OConnor,J OConnor,,,,,True,
A185-86-123,7/26/2011 3:35:14 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-29,6/22/2003 6:02:49 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-29,6/15/2005 3:51:43 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-29,7/24/2009 5:09:31 PM,,,,,,,,,,,,,0,R Wilson; M Llanes; C Campanelli; H Bradshaw,J OConnor,,,,,True,
DENA-HZF-Z3-29,7/14/2021 7:21:49 PM,,,,,,,,,,,,,0,J OConnor,J OConnor,,,,,True,
DENA-HQ-TX-22,6/21/2021 5:41:10 PM,,,,,,,,,,,,,0,J Barnes,J OConnor,,,,,True,
DENA-HZF-Z3-30RL,8/18/2003 6:07:00 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-30RL,6/15/2005 3:56:43 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-30RL,7/25/2009 4:46:09 PM,,,,,,,,,,,,,0,R Wilson,J OConnor,,,,,True,
DENA-HZF-Z3-30RL,8/11/2021 7:04:07 PM,,,,,,,,,,,,,0,J OConnor; R Nessle,J OConnor,,,,,True,
DENA-HQ-TX-28,6/24/2021 5:48:31 PM,,,,,,,,,,,,,0,J Hrobak; M Neuser,J OConnor,,,,,True,
DENA-HQ-TX-28,6/27/2023 2:49:21 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-C-15,7/24/2009 5:40:43 PM,,,,,,,,,,,,,0,J Mitchell; M Llanes; C Campanelli; H Bradshaw; R Wilson,J OConnor,,,,,True,
DENA-HZF-C-15,7/15/2021 3:49:50 PM,,,,,,,,,,,,,0,,,,,,,True,
A391-90-57,7/27/2011 9:37:28 AM,,,,,,,,,,,,,0,,,,,,,True,
DENA-A274-H2,7/21/2016 12:57:05 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HQ-TX-21,6/21/2021 5:39:23 PM,,,,,,,,,,,,,0,J Barnes; K Gates; K Cowan; R Nessle; J OConnor,J OConnor,,,,,True,
DENA-HZF-C-09,7/24/2009 5:40:11 PM,,,,,,,,,,,,,0,J Mitchell; M Llanes; C Campanelli; H Bradshaw; B McCreary,J OConnor,,,,,True,
DENA-HZF-C-09,8/12/2021 3:36:50 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-TLS-28,8/30/2022 5:56:37 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-TLS-24,6/23/2022 6:49:20 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-07,6/14/2005 2:20:45 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-07,7/23/2009 3:54:00 PM,,,,,,,,,,,,,0,J Mitchell; C Campanelli; R Wilson; M Llanes,J OConnor,,,,,True,
DENA-HZF-Z3-07,8/12/2021 7:22:58 PM,,,,,,,,,,,,,0,J OConnor,J OConnor,,,,,True,
DENA-TLS-37,7/12/2022 2:25:04 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-TLS-33,8/2/2022 5:11:49 PM,,,,,,,,,,,,,0,,,,,,,True,
A185-86-143,7/26/2011 1:49:22 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-TLS-25,8/30/2022 12:44:15 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HQ-TX-02,6/23/2021 6:06:44 PM,,,,,,,,,,,,,0,J Barnes; K Gates; J O'Connor,J O'Connor,,,,,True,
DENA-HQ-TX-02,7/28/2023 7:22:29 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-19RL,8/16/2003 9:43:41 AM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-19RL,7/24/2005 3:28:49 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-19RL,7/25/2009 10:22:19 AM,,,,,,,,,,,,,0,J Mitchell; R Wilson; M Llanes; C Campanelli; B McCreary; H Bradshaw,J OConnor,,,,,True,
DENA-HZF-Z3-19RL,8/11/2021 7:22:12 PM,,,,,,,,,,,,,0,J Barnes; M Neuser; W Gautsch,J OConnor,,,,,True,
DENA-HQ-TX-09,6/23/2021 2:33:27 PM,,,,,,,,,,,,,0,J Barnes; K Gates; J O'Connor,J O'Connor,,,,,True,
DENA-HQ-TX-09,6/23/2023 12:12:30 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-06,6/11/2003 5:18:15 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-06,6/15/2005 1:23:19 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-06,7/23/2009 3:45:07 PM,,,,,,,,,,,,,0,J Mitchell; C Campanelli; R Wilson; H Bradshaw; M Llanes,J OConnor,,,,,True,
DENA-HZF-Z3-06,7/14/2021 8:39:35 PM,,,,,,,,,,,,,0,J Barnes,J OConnor,,,,,True,
DENA-HQ-TX-20,6/22/2021 5:37:20 PM,,,,,,,,,,,,,0,J Hrobak; M Neuser,J OConnor,,,,,True,
DENA-HQ-TX-06,6/23/2021 2:14:15 PM,,,,,,,,,,,,,0,J Hrobak; M Neuser,J O'Connor,,,,,True,
DENA-HQ-TX-06,6/22/2023 12:01:10 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-TLS-39,6/22/2022 1:19:16 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HQ-TX-27,6/21/2021 5:46:11 PM,,,,,,,,,,,,,0,J Hrobak; M Neuser,J OConnor,,,,,True,
DENA-HQ-TX-05,6/23/2021 2:05:36 PM,,,,,,,,,,,,,0,J Hrobak; M Neuser,J O'Connor,,,,,True,
DENA-HQ-TX-05,6/26/2023 11:47:13 AM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z2-04RL,6/14/2005 10:23:40 AM,,,,,,,,,,,,,1,,,,,,,True,
DENA-HZF-Z2-04RL,6/14/2005 10:23:40 AM,-2147483648,1,0,False,0.8,7.1,7.9,Default,,,,,,,,,,,,,
DENA-HZF-Z2-04RL,6/14/2005 10:23:40 AM,-2147483647,1,16,False,0.2,8.1,8.3,Default,,,,,,,,,,,,,
DENA-HZF-Z2-04RL,7/22/2009 3:11:05 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z2-04RL,8/12/2021 7:31:34 PM,,,,,,,,,,,,,0,M Neuser; W Gautsch; R Nessle,J OConnor,,,,,True,
A185-86-116,7/26/2011 8:20:59 AM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-10RL,8/17/2003 5:36:51 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-10RL,6/16/2005 2:57:03 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-10RL,7/25/2009 4:10:29 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-10RL,8/11/2021 7:22:39 PM,,,,,,,,,,,,,0,J OConnor,J OConnor,,,,,True,
A391-90-59,7/27/2011 4:39:20 PM,,,,,,,,,,,,,1,,,,,,,True,
DENA-HZF-Z2-16,6/11/2003 9:33:27 AM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z2-16,6/11/2003 9:33:27 AM,-2147483648,1,0,False,0,7.9,7.9,Default,,,,,,,,,,,,,
DENA-HZF-Z2-16,6/11/2003 9:33:27 AM,-2147483647,1,16,False,0,0,0,Default,gravel road,,,,,,,,,,,,
DENA-HZF-Z2-16,6/13/2005 11:27:01 AM,,,,,,,,,,,,,1,,,,,,,True,
DENA-HZF-Z2-16,6/13/2005 11:27:01 AM,-2147483648,1,0,False,,,3,Default,,,,,,,,,,,,,
DENA-HZF-Z2-16,7/22/2009 3:38:14 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z2-16,8/13/2021 4:40:20 PM,,,,,,,,,,,,,0,M Neuser; R Nessle; W Gautsch,J OConnor,,,,,True,
DENA-HZF-C-14,7/23/2009 3:32:20 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-13,6/14/2005 3:10:04 PM,,,,,,,,,,,,,0,,,,,,,True,
DENA-HZF-Z3-13,7/22/2009 4:16:02 PM,,,,,,,,,,,,,0,R Wilson; M Llanes,J OConnor,,,,,True,
DENA-HZF-Z3-13,8/12/2021 7:22:31 PM,,,,,,,,,,,,,0,M Neuser; W Gautsch,J OConnor,,,,,True,
DENA-TLS-34,8/2/2022 6:29:45 PM,,,,,,,,,,,,,0,,,,,,,True,
