MacroPlot Name,Date,Index,Transect,SampLoc,OffSet,LittDep,LiveMoss,DeadMoss,UppDuffDep,LowDuffDep,LichDep,FuelbedDep,ExpDLFuConSt,Comment,UV1,UV2,UV3,NumTran,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
DENA-HZF-Z3-22,8/12/2021 5:29:08 PM,-2147483647,1,2,False,,4.5,3,8,4,,19.5,Default,,,HYSP,16m,,,,,,,,,
NOAT-SID-G06,6/24/2011 10:03:58 AM,,,,,,,,,,,,,,,,,1,,,,,,,True,
NOAT-SID-G06,6/24/2011 10:03:58 AM,-2147483648,1,1,False,,,,,,,,Default,no data collected,,,,,,,,,,,,
DENA-TLS-18,7/13/2022 5:08:33 PM,,,,,,,,,,,,,,,,,1,T. Schaub; N. Tilges,M; Behrens,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483648,1,1,False,0,6,5,3,8,0,22,Default,,,DUFF,0M,,,,,,,,,
DENA-TLS-18,7/13/2022 5:08:33 PM,-2147483647,1,2,False,1,3,3,3,7,0,16,Default,,,DUFF,16M,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,,,,,,,,,,,,,,,,,1,Rachel Loehman,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken,,,True,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483648,1,1,False,0.2,,25,,,2,27,Default,Sampled in SM. Did not reach upper or lower duff,,,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483647,1,2,False,,2,15,2,5,1,25,Default,DM was SM.,,,,,,,,,,,,
DENA-A274-G3,8/16/2016 3:44:30 PM,-2147483646,1,3,False,0.2,0.5,5,7,3,0.2,15.5,Default,DM was half SM.,,,,,,,,,,,,
A185-86-137,7/26/2011 1:50:00 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
A185-86-137,7/26/2011 1:50:00 PM,-2147483648,1,1,True,0,3,0,15,0,0,18,Default,unknown fuelbed depth; greater than plug depth.  Upper duff = sphagnum duff,,,,,,,,,,,,
A185-86-137,7/26/2011 1:50:00 PM,-2147483647,1,18,False,0.2,0,0,0,17,0,17.2,Default,,,,,,,,,,,,,
DENA-A274-H4,7/20/2016 10:50:59 AM,,,,,,,,,,,,,,,,,1,Jennifer Barnes; Winter West,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken,,,True,
DENA-A274-H4,7/20/2016 10:50:59 AM,-2147483648,1,1,False,,0.2,,,1,,1,Default,Live Moss is trace of CEPU,,CEPU,,,,,,,,,,
DENA-A274-H4,7/20/2016 10:50:59 AM,-2147483647,1,2,False,0.2,,,5,4,,9,Default,,,,,,,,,,,,,
DENA-A274-H4,7/20/2016 10:50:59 AM,-2147483646,1,3,False,,2,,,3,,5,Default,Live Moss is CEPU,,CEPU,,,,,,,,,,
NOAT-ROK-B02,6/24/2011 2:56:36 PM,,,,,,,,,,,,,,,,,1,,,,,,,True,
NOAT-ROK-B02,6/24/2011 2:56:36 PM,-2147483648,1,1,False,0,3,3,10,,,16,Default,unburned sphagnum; frozen below UD,unburned ,SPHAG,,,,,,,,,,
B288-01-1179,7/7/2005 9:44:59 AM,,,,,,,,,,,,,,,,,1,Allen,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
B288-01-1179,7/7/2005 9:44:59 AM,-2147483648,1,1,False,0,0,2,10,10,0,,Default,Sampled to muck in LD. Burned.,,,0m,,,,,,,,,
B288-01-1179,7/7/2005 9:44:59 AM,-2147483647,1,2,False,0,5,28,,,0,33,Default,Sampled to ice in DM. (Sphagnum - unburned),,SPHAG,30m,,,,,,,,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,,,,,,,,,,,,,,,,,1,J Barnes; K Gates; J OConnor,J OConnor,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483648,1,1,False,3,,,2,1,,6,Default,,,LTRH,0m,,,,,,,,,
DENA-HQ-TX-11,6/22/2021 2:47:15 PM,-2147483647,1,2,False,,3,3,3.5,2,,11.5,Default,,,HYSP,16m,,,,,,,,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,,,,,,,,,,,,,,,,,1,,S. Stehn,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,1,1,1,False,1,0,0,0,0,0,1,Default,,,,0m,,,,,,,,,
DENA-HQ-TX-11,6/20/2023 12:24:31 PM,2,1,2,False,2.9,0.7,1,1.1,2.2,0,7.9,Default,,,,16m,,,,,,,,,
DENA-HQ-TX-03,6/23/2021 7:05:58 PM,,,,,,,,,,,,,,,,,1,J Barnes; K Gates; J OConnor,J OConnor,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HQ-TX-03,6/23/2021 7:05:58 PM,-2147483648,1,1,False,2,0.5,,3,3.5,,9,Default,,,LTRH,0m,,,,,,,,,
DENA-HQ-TX-03,6/23/2021 7:05:58 PM,-2147483647,1,2,False,,3,3,1,3,,10,Default,,,HYSP,16m,,,,,,,,,
DENA-HQ-TX-03,6/28/2023 11:32:14 AM,,,,,,,,,,,,,,,,,1,,S. Stehn,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HQ-TX-03,6/28/2023 11:32:14 AM,1,1,1,False,6,4,2,2,3,0,17,Default,,,HYLSPL,0m,,,,,,,,,
DENA-HQ-TX-03,6/28/2023 11:32:14 AM,2,1,2,False,4,4,6,3,3,0,20,Default,,,HYLSPL,16m,,,,,,,,,
DENA-HZF-C-06RL,7/24/2009 5:39:22 PM,,,,,,,,,,,,,,,,,1,J Mitchell; C Campanelli; H Bradshaw; B McCreay,J OConnr,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HZF-C-06RL,7/24/2009 5:39:22 PM,-2147483648,1,1,False,,,,,28,,28,Default,,,,0m,,,,,,,,,
DENA-HZF-C-06RL,7/24/2009 5:39:22 PM,-2147483647,1,2,False,,,,,25,,25,Default,,,,16m,,,,,,,,,
DENA-HZF-C-06RL,7/15/2021 12:39:58 PM,,,,,,,,,,,,,,,,,1,J. O'Connor,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken  ,Sample Location,,True,
DENA-HZF-C-06RL,7/15/2021 12:39:58 PM,-2147483648,1,1,False,,3.5,1.75,11,4.5,,20.75,Default,,,,,,,,,,,,,
DENA-HZF-C-06RL,7/15/2021 12:39:58 PM,-2147483647,1,2,False,,3,3,14,6.5,,26.5,Default,,,,,,,,,,,,,
A223-86-246,7/8/2005 11:42:12 AM,,,,,,,,,,,,,,,,,1,Parker; Stinchfield,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken ,Sample Location,,True,
A223-86-246,7/8/2005 11:42:12 AM,-2147483648,1,1,False,3,0,0,5,4,0,12,Default,,,,0m,,,,,,,,,
A223-86-246,7/8/2005 11:42:12 AM,-2147483647,1,2,False,2,0,0,3,1.5,0,6.5,Default,,,,30m,,,,,,,,,
DENA-HZF-C-03,7/24/2009 1:38:58 AM,,,,,,,,,,,,,,,,,1,J Mitchell; M Llanes; C Campanelli; B McCreary; H Bradshaw,J OConnor,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HZF-C-03,7/24/2009 1:38:58 AM,-2147483648,1,1,False,,,,,23,,23,Default,permafrost,,,0m,,,,,,,,,
DENA-HZF-C-03,7/24/2009 1:38:58 AM,-2147483647,1,2,False,,,,,21,,21,Default,rock,,,16m,,,,,,,,,
DENA-HZF-C-03,7/15/2021 7:16:05 PM,,,,,,,,,,,,,,,,,1,J. Barnes,J. Hrobak,Surface layer burn severity,Surface layer code at point where duff plug is taken  ,Sample Location,,True,
DENA-HZF-C-03,7/15/2021 7:16:05 PM,-2147483648,1,1,False,,3,6,20,,,29,Default,Sampled to ice.,,PLSC,,,,,,,,,,
DENA-HZF-C-03,7/15/2021 7:16:05 PM,-2147483647,1,2,False,,3,2,15,5,,25,Default,Sampled to ice.,,HYSP,,,,,,,,,,
DENA-HQ-TX-13,6/22/2021 2:59:14 PM,,,,,,,,,,,,,,,,,1,J Hrobak; M Neuser,J OConnor,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HQ-TX-13,6/22/2021 2:59:14 PM,-2147483648,1,1,False,,1.5,0.7,5,2,,9.2,Default,,,HYSP,0m,,,,,,,,,
DENA-HQ-TX-13,6/22/2021 2:59:14 PM,-2147483647,1,2,False,,2.5,3,4,2,,11.5,Default,,,HYSP,16m,,,,,,,,,
DENA-HQ-TX-13,6/21/2023 12:55:47 PM,,,,,,,,,,,,,,,,,1,,S. Stehn,Surface layer burn severity,Surface layer code at point where duff plug is taken,Sample Location,,True,
DENA-HQ-TX-13,6/21/2023 12:55:47 PM,1,1,1,False,1,5,3,5,3,0,17,Default,,,HYLSPL,0m,,,,,,,,,
DENA-HQ-TX-13,6/21/2023 12:55:47 PM,2,1,2,False,2,4,3,4,3,0,16,Default,,,HYLSPL,16m,,,,,,,,,
