MacroPlot Name,Date,Index,Transect,Azimuth,Slope,OneHr,TenHr,HunHr,FWDFuConSt,Comment,UV1,UV2,UV3,NumTran,OneHrTranLen,TenHrTranLen,HunHrTranLen,FieldTeam,EntryTeam,UV1Desc,UV2Desc,UV3Desc,SaComment,Visited,
DENA-HQ-TX-13,6/21/2023 12:55:47 PM,,,,,,,,,,,,,1,6,6,12,,S. Stehn,,,,,True,
DENA-HQ-TX-13,6/21/2023 12:55:47 PM,-2147483648,1,186,5,15,1,0,Default,,,,,,,,,,,,,,,,
DENA-A274-F8,7/22/2016 2:19:59 PM,,,,,,,,,,,,,1,12,12,98,Winter West; Esther Babcock; Rachel Loehman,J. Hrobask,,,,,True,
DENA-A274-F8,7/22/2016 2:19:59 PM,-2147483648,1,5,0,1,3,2,Default,,,,,,,,,,,,,,,,
DENA-TLS-21,8/3/2022 1:40:03 PM,,,,,,,,,,,,,1,6,6,12,T. Schaub; M. Behrens,T. Schaub,,,,,True,
DENA-TLS-21,8/3/2022 1:40:03 PM,-2147483648,1,180,13,4,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z2-14,6/13/2003 9:12:53 AM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z2-14,6/13/2003 9:12:53 AM,-2147483648,1,124,3,8,1,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z2-14,6/14/2005 4:32:56 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z2-14,6/14/2005 4:32:56 PM,-2147483648,1,134,5,14,1,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z2-14,7/24/2009 2:19:15 PM,,,,,,,,,,,,,1,6,6,12,J Mitchell; C Campanelli; B McCreary; H Bradshaw; M Llanes,J OConnor,,,,,True,
DENA-HZF-Z2-14,7/24/2009 2:19:15 PM,-2147483648,1,99,11,11,5,2,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z2-14,9/2/2021 7:23:19 PM,,,,,,,,,,,,,1,6,6,12,J Barnes; V Belser,J OConnor,,,,,True,
DENA-HZF-Z2-14,9/2/2021 7:23:19 PM,-2147483648,1,140,0,9,4,0,Default,,,,,,,,,,,,,,,,
DENA-TLS-27,6/21/2022 12:21:02 PM,,,,,,,,,,,,,1,6,6,12,J. Barnes,T. Schaub,,,,,True,
DENA-TLS-27,6/21/2022 12:21:02 PM,-2147483648,1,180,12,3,0,0,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-15,6/22/2021 4:59:47 PM,,,,,,,,,,,,,1,6,6,12,J Hrobak; M Neuser,J OConnor,,,,,True,
DENA-HQ-TX-15,6/22/2021 4:59:47 PM,-2147483648,1,180,-12,10,5,2,Default,,,,,,,,,,,,,,,,
DENA-HQ-TX-15,6/28/2023 2:34:59 PM,,,,,,,,,,,,,1,6,6,12,,S. Stehn,,,,,True,
DENA-HQ-TX-15,6/28/2023 2:34:59 PM,-2147483648,1,180,10,49,6,1,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-26,7/6/2003 5:58:01 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-26,7/6/2003 5:58:01 PM,-2147483648,1,180,0,2,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-26,6/14/2005 3:47:36 PM,,,,,,,,,,,,,1,6,6,12,,,,,,,True,
DENA-HZF-Z3-26,6/14/2005 3:47:36 PM,-2147483648,1,360,0,53,2,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-26,7/22/2009 5:03:17 PM,,,,,,,,,,,,,1,6,6,12,R Wilson; M Llanes,J Mitchell,,,,,True,
DENA-HZF-Z3-26,7/22/2009 5:03:17 PM,-2147483648,1,180,2,40,0,0,Default,,,,,,,,,,,,,,,,
DENA-HZF-Z3-26,8/13/2021 6:35:20 PM,,,,,,,,,,,,,1,6,6,12,M Neuser; R Nessle; W Gautsch,J OConnor,,,,,True,
DENA-HZF-Z3-26,8/13/2021 6:35:20 PM,-2147483648,1,180,5,6,4,1,Default,,,,,,,,,,,,,,,,
DENA-TLS-38,7/11/2022 12:13:21 PM,,,,,,,,,,,,,1,6,6,12,M Behrens; T Schaub,M Behrens,,,,,True,
DENA-TLS-38,7/11/2022 12:13:21 PM,-2147483648,1,180,5,1,0,0,Default,,,,,,,,,,,,,,,,
DENA-TLS-26,6/22/2022 1:52:29 PM,,,,,,,,,,,,,1,6,6,12,J Barnes,T. Schaub,,,,,True,
